Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72
0,455245;0,4852818;0,5041278;0,470077;0,4953564;0,4538455;0,5045252;0,590321;0,4858099;0,5582002;0,5072919;0,5502821;0,495023;0,5913664;0,4899233;0,5523045;0,5999894;0,5050763;0,5193977;0,5663683;0,4953465;0,5688525;0,5054747;0,6184459;0,5715154;0,5299304;0,5380844;0,581048;0,5831413;0,5813326;0,6776024;0,5387388;0,5029677;0,622637;0,6429191;0,651206;0,6224934;0,6583339;0,726047;0,5660993;0,5335299;0,6888893;0,6184459;0,6169072;0,5929444;0,6205533;0,5712925;0,5254066;0,608859;0,5550139;0,6318855;0,5394378;0,5340493;0,5074044;0,5306178;0,4835646;0,5199571;0,4858099;0,5327095;0,4977892;0,5209315;0,5419652;0,5306621;0,6367322;0,5247268;0,5627119;0,5299014;0,5312917;0,5625539;0,5682362;0,506851;0,490722
0,4551343;0,4854074;0,5037841;0,4697611;0,4953353;0,4531206;0,5044738;0,5897798;0,485689;0,5580093;0,5068522;0,5497773;0,4945213;0,590655;0,4893495;0,5520719;0,5997519;0,5046932;0,5186891;0,5657295;0,4946372;0,5686588;0,5050886;0,6178878;0,5709777;0,5298552;0,5377788;0,5806456;0,5825793;0,5805834;0,6767426;0,5383616;0,5030299;0,6225824;0,6428119;0,6507035;0,6217803;0,6574823;0,7254503;0,5655839;0,5331178;0,6878905;0,6178878;0,616497;0,5923461;0,6201843;0,5708577;0,5249838;0,6083943;0,5544035;0,6314536;0,5391308;0,5341042;0,507067;0,5301311;0,4831488;0,5196473;0,485689;0,5326685;0,497398;0,52061;0,5415;0,5301499;0,6364838;0,5244712;0,5618975;0,5296603;0,5310198;0,5617403;0,5672401;0,5065492;0,4900448
0,4549861;0,4854073;0,5035499;0,4697801;0,4955131;0,4533817;0,5045561;0,5898644;0,4855903;0,5583922;0,5060995;0,5495782;0,4942833;0,5906245;0,4892651;0,5521048;0,5998871;0,5046557;0,5184968;0,5656701;0,4945609;0,5685468;0,5049902;0,6178304;0,5707204;0,5297912;0,5379884;0,5802754;0,5823414;0,5805785;0,6770492;0,5378309;0,5032728;0,622921;0,6428249;0,6507912;0,6217446;0,6570701;0,7250755;0,5650249;0,5326342;0,6877891;0,6178304;0,6165106;0,5919226;0,6200466;0,5707323;0,5250932;0,6084182;0,5540366;0,6307588;0,5398151;0,5342873;0,5068913;0,530133;0,4832169;0,519305;0,4855903;0,5330268;0,4977092;0,5202892;0,5419741;0,5303097;0,6365818;0,5244243;0,5621208;0,5294314;0,5310252;0,5617377;0,5669103;0,5067187;0,4898588
0,455009;0,4854785;0,5039826;0,4698518;0,4955038;0,4536923;0,5045785;0,5904098;0,4855324;0,558502;0,5062485;0,5497936;0,494422;0,5913984;0,4895731;0,5524518;0,5998142;0,5050703;0,5186658;0,5660089;0,4951714;0,5687262;0,5053831;0,6178631;0,5710086;0,5298161;0,5381595;0,5801134;0,582435;0,5806019;0,6770574;0,5378883;0,5032752;0,6232587;0,6426744;0,6512592;0,6219117;0,6572948;0,7253526;0,5650013;0,5328752;0,6878619;0,6178631;0,6166314;0,5919687;0,6200843;0,5711165;0,5255796;0,6088806;0,5543761;0,6308788;0,5398977;0,534382;0,5074324;0,5304575;0,4835221;0,519391;0,4855324;0,5332698;0,4978795;0,5202742;0,5423188;0,5306855;0,6362628;0,5245189;0,5623235;0,5297162;0,5310592;0,561947;0,567055;0,5068604;0,4905483
0,4547225;0,485399;0,5039921;0,4697831;0,4953027;0,4537373;0,504307;0,5902715;0,4853502;0,5581735;0,5063856;0,5498355;0,4943157;0,591356;0,4892184;0,552527;0,5997232;0,5049971;0,5185419;0,565908;0,4948709;0,5686328;0,5054585;0,6173295;0,5707341;0,5296656;0,5377905;0,5799835;0,5818824;0,5800567;0,6764188;0,5377876;0,5029651;0,6228359;0,6422778;0,6509119;0,6216227;0,6567712;0,7251367;0,5647756;0,5328537;0,6872536;0,6173295;0,6161513;0,5917241;0,6197059;0,5711479;0,5253215;0,6088035;0,5544885;0,6307787;0,5393044;0,534139;0,5074694;0,5305189;0,4833042;0,5191953;0,4853502;0,5330104;0,4975475;0,5203417;0,5420471;0,5306155;0,636116;0,5243052;0,5620094;0,5299023;0,5307282;0,5615949;0,5670552;0,5067147;0,4904393
0,4546516;0,4852844;0,5035763;0,4696004;0,4951282;0,4532457;0,5038831;0,5899427;0,4851857;0,5577567;0,5060979;0,5497554;0,4940186;0,5902812;0,4884562;0,5520403;0,5997341;0,5047178;0,5183243;0,5654845;0,4944422;0,5683331;0,505003;0,6162923;0,5702634;0,5294974;0,537558;0,5795353;0,5815011;0,5792698;0,6757604;0,5372058;0,5027549;0,6223665;0,6416118;0,6497395;0,6212607;0,6562543;0,7240656;0,5639876;0,53214;0,6865585;0,6162923;0,614944;0,5907679;0,6189831;0,570433;0,5246119;0,6083276;0,5541293;0,6304361;0,5387554;0,5341218;0,5070885;0,5301113;0,4831713;0,5186781;0,4851857;0,5328014;0,4972756;0,5198331;0,5417596;0,5304105;0,6364926;0,5237385;0,5615922;0,5295421;0,5306948;0,5611291;0,5667368;0,5063561;0,4898671
0,4545161;0,4851503;0,5036557;0,4695199;0,4951181;0,453506;0,5039271;0,5900687;0,4853475;0,5578252;0,5064327;0,549937;0,4941786;0,5902163;0,4885082;0,5517043;0,5994849;0,5046349;0,5185558;0,5654825;0,49436;0,5684376;0,5050805;0,6160476;0,5704247;0,5296296;0,5376977;0,5792456;0,5810099;0,5791938;0,6755549;0,5365734;0,5028347;0,6219951;0,6411349;0,6495778;0,6209471;0,6559737;0,7238271;0,5640149;0,5317304;0,6866232;0,6160476;0,614745;0,5908684;0,6187831;0,5700545;0,5246711;0,6081169;0,5542109;0,6310483;0,5390728;0,5339253;0,5071504;0,5298342;0,4832936;0,5191199;0,4853475;0,5325692;0,4974351;0,5197228;0,5413386;0,5302164;0,6366288;0,5237519;0,5618983;0,529474;0,5306816;0,5608053;0,566292;0,5059744;0,4898803
0,4545274;0,4851739;0,5036467;0,4694393;0,4953395;0,4537381;0,5040911;0,5902174;0,4855483;0,5577874;0,5066407;0,5499588;0,4940984;0,5908679;0,4886133;0,5520673;0,5994588;0,5045207;0,5187057;0,5657322;0,4943706;0,5687309;0,5051886;0,6162351;0,5703773;0,5298355;0,5376909;0,5791473;0,5808156;0,5790654;0,6752023;0,5363664;0,5025976;0,6218592;0,6411579;0,6497523;0,6205249;0,6559075;0,7238765;0,5641651;0,5318442;0,6866961;0,6162351;0,6147195;0,5910262;0,6188581;0,5699902;0,5249239;0,6083747;0,5545803;0,6309794;0,5393088;0,5337911;0,5071175;0,5296114;0,4834949;0,5194921;0,4855483;0,5324228;0,4977057;0,5198663;0,5413135;0,5302373;0,6364642;0,5238134;0,5622315;0,5297459;0,5305439;0,5610555;0,5663987;0,5060915;0,4899819
0,4545811;0,4854389;0,5033267;0,4696478;0,4951361;0,4536169;0,5042613;0,5901381;0,4856904;0,5577643;0,5062665;0,5496159;0,4940142;0,5905809;0,4886239;0,5520868;0,5994426;0,5043076;0,5186076;0,5659135;0,4946877;0,5686219;0,5051005;0,6160645;0,5708705;0,5296313;0,5375191;0,5790415;0,5810399;0,5789897;0,6749934;0,5364363;0,5023682;0,6222463;0,6406997;0,6495355;0,6202415;0,6551808;0,7235349;0,5635887;0,531799;0,6867893;0,6160645;0,614879;0,5908391;0,6182685;0,5702627;0,5250409;0,6085904;0,5546135;0,6306061;0,5393456;0,5336632;0,5066791;0,5299022;0,4834025;0,5192281;0,4856904;0,5323008;0,4978335;0,5197499;0,541559;0,5303991;0,6362898;0,5238901;0,5622145;0,5297499;0,5304732;0,5611448;0,5663784;0,5061153;0,4895291
